dishName,cuisine,dishId
amritsari fish,north indian|punjab,966
amritsari fish,north indian|punjab,967
amritsari fish,north indian|punjab,968
fish & chips,american,969
fish fingers,south indian|kerala,975
fish fingers,south indian|kerala,976
fish fingers,south indian|kerala,977
french fries,american,984
french fries,american,985
french fries,american,986
french toast,american,987
french toast,american,988
french toast,american,989
korean fried chicken,korean,990
fried fish,east indian|bengal,978
fried fish,east indian|bengal,993
fried fish,east indian|bengal,995
dragon fruit smoothie,mexican,997
acai fruit bowl,south american,998
fruit custard,england,999
fruit custard,england,1000
fruit custard,england,1001
doodhiya gajar matar,north indian|punjab,1008
aloo gajar matar,north indian|punjab,1009
gajar matar,north indian|punjab,1010
garlic bread,italian,1011
garlic bread,italian,1012
cheesy garlic bread,italian,1013
gobi manchurian,chinese,1014
gobi manchurian,chinese,1015
gobi manchurian,chinese,1016
aloo gobi matar,north indian|punjab,1017
aloo gobi matar,north indian|punjab,1018
mughlai aloo matar gobi,north indian|punjab,1019
gobi paratha,north indian|punjab,1020
gobi paratha,north indian|punjab,1021
gobi paratha,north indian|punjab,1022
greek salad,greek,1023
greek salad,greek,1024
greek salad,greek,1025
iced strawberry green tea,american,1026
strawberry green tea with boba,american,1027
peach green tea,american,1028
hashbrowns,american,1032
hash-brown casserole,american,1033
cheesy hashbrown casserole,american,1034
hot and sour soup,chinese,1035
hot and sour soup,chinese,1036
hot and sour soup,chinese,1037
idli,south indian|karnataka,1041
idli,south indian|karnataka,1043
masala idli,south indian|karnataka,1042
jalebi,north indian,1047
jalebi,north indian,1048
jalebi,north indian,1049
kachori,west indian|rajasthan,1050
kachori,west indian|rajasthan,1052
mawa kachori,west indian|rajasthan,1051
kadhai chicken,north indian|punjab,1053
kadhai chicken,north indian|punjab,1054
kadhai chicken,north indian|punjab,1055
kadhai paneer,north indian|punjab,1056
kadhai paneer,north indian|punjab,1057
kadhai paneer,north indian|punjab,1058
kaju katli,north indian,1059
kaju katli,north indian,1060
kaju katli,north indian,1061
karela sabzi,north indian,1062
bharwan karela,north indian,1063
bharwa karela,north indian,1064
kesari bath,south indian|karnataka,1065
khakhra,west indian|gujarat,1067
methi khakhra,west indian|gujarat,1068
bajra khakhra,west indian|gujarat,1069
kolhapuri usal,west indian|maharashtra,1070
kolhapuri usal,west indian|maharashtra,1072
misal pav,west indian|maharashtra,1071
kulcha,north indian|punjab,1073
kulcha,north indian|punjab,1074
kulcha,north indian|punjab,1075
lamb biriyani,south indian|andhra pradesh,1076
lamb biriyani,south indian|andhra pradesh,1077
lamb biriyani,south indian|andhra pradesh,1078
lamb burger,american,1079
lamb burger,american,1080
spiced lamb pita burgers,american,1081
lemon cheesecake,american,1082
lemon cheesecake,american,1083
lemon cheesecake,american,1084
makki ki roti,north indian|punjab,1085
makki ki roti,north indian|punjab,1086
makki di roti,north indian|punjab,1087
manchow soup,chinese,1088
chicken manchow soup,chinese,1089
vegetable manchow soup,chinese,1090
paneer masala dosa,south indian|karnataka,1094
paneer masala dosa,south indian|karnataka,1095
masala dosa with red chutney,south indian|karnataka,1096
masala papad,south indian|tamil nadu,1097
masala papad,south indian|tamil nadu,1098
masala papad,south indian|tamil nadu,1099
masala papad,south indian|tamil nadu,1182
masala papad,south indian|tamil nadu,1183
masala papad,south indian|tamil nadu,1184
masala puri,south indian|karnataka,1100
methi moong masala puri,south indian|karnataka,1101
matar paneer,north indian|punjab,309
matar paneer,north indian|punjab,382
matar paneer,north indian|punjab,698
matar paneer,north indian|punjab,1103
matar paneer,north indian|punjab,1104
matar paneer,north indian|punjab,1105
methi malai matar,north indian,1106
methi matar malai,north indian,1107
methi matar malai,north indian,1108
methi paratha,north indian|punjab,1109
methi paratha,north indian|punjab,1110
methi and palak paratha,north indian|punjab,1111
mexican burgers,mexican,1112
mexican burgers,mexican,1114
mexican avocado burgers,mexican,1113
mexican rice,mexican,1115
