893,chocolate milkshake
894,chocolate milkshake
895,bhatura
896,bhatura
897,chole bhature
898,chopsuey
899,chopsuey
900,chopsuey
901,vegetable chowmein
902,egg chowmein
903,cantonese style vegetarian chowmein
904,kadalai paruppu chundal
905,pachai payaru chundal
906,coffee ice cream
907,coffee ice cream
908,coffee ice cream
909,corn palak
910,babycorn palak
911,palak soup
912,corn salad
913,corn salad
914,cilantro corn and black bean salad
915,cream of broccoli
916,white cheddar cream of broccoli soup
917,cream of broccoli
918,curried capsicum masala
919,curried capsicum masala
920,chicken tikka masala
921,dahi batata puri
922,puri
923,dal bhari puri
924,dahi vada
925,dahi vada
926,bread dahi vada
927,dal khichdi
928,dal khichdi
929,dal khichdi
930,methi dal
931,methi dal
932,methi dal
933,dal tadka
934,dal tadka
935,dal tadka
936,daliya idly
937,vegetable daliya khichdi
938,bulgur wheat daliya
939,date ladoo
940,date ladoo
941,date and nut ladoo
942,dhokla
943,khatta dhokla
944,khaman dhokla
945,snickerdoodle donuts
946,baked pumpkin donut holes
947,glazed donuts
948,dry chilli mushroom
949,creamy mushrooms
950,mushroom rice
951,dum aloo
952,dum aloo
953,dum aloo
954,egg rolls
955,egg rolls
956,egg rolls
957,egg sandwich
958,peppers & egg sandwich
959,egg salad sandwich
960,falooda
961,falooda
962,rose falooda
963,filter coffee
964,filter coffee
965,filter coffee
966,amritsari fish
967,amritsari fish
968,amritsari fish
969,fish & chips
970,fish and chips
971,fish and chips
972,fish curry
973,fish curry
974,goan fish curry
975,fish fingers
976,fish fingers
977,fish fingers
978,fried fish
979,masala fish fry
980,vanjaram fish fry
981,grilled fish steaks
982,crusted fish steaks
983,fish steaks dijon
984,french fries
985,french fries
986,french fries
987,french toast
988,french toast
989,french toast
990,korean fried chicken
991,fried chicken
992,fried chicken
993,fried fish
994,coconut fried fish
995,fried fish
996,chicken burrito bowls
997,dragon fruit smoothie
998,acai fruit bowl
999,fruit custard
1000,fruit custard
1001,fruit custard
1002,fruit ice cream
1003,fruit ice cream
1004,fruit ice cream
1005,fruit salad
1006,rainbow fruit salad
1007,vanilla fruit salad
1008,doodhiya gajar matar
1009,aloo gajar matar
1010,gajar matar
1011,garlic bread
1012,garlic bread
1013,cheesy garlic bread
1014,gobi manchurian
1015,gobi manchurian
1016,gobi manchurian
1017,aloo gobi matar
1018,aloo gobi matar
1019,mughlai aloo matar gobi
1020,gobi paratha
1021,gobi paratha
1022,gobi paratha
1023,greek salad
1024,greek salad
1025,greek salad
1026,iced strawberry green tea
1027,strawberry green tea with boba
1028,peach green tea
1029,gulab jamun
1030,gulab jamun
1031,gulab jamun
1032,hashbrowns
1033,hash-brown casserole
1034,cheesy hashbrown casserole
1035,hot and sour soup
1036,hot and sour soup
1037,hot and sour soup
1038,cinnamon ice cream
1039,vanilla ice cream
1040,nutella ice cream
1041,idli
1042,masala idli
1043,idli
1044,indian pickle
1045,lemon pickle
1046,lemon pickle
1047,jalebi
1048,jalebi
1049,jalebi
1050,kachori
1051,mawa kachori
1052,kachori
1053,kadhai chicken
1054,kadhai chicken
1055,kadhai chicken
1056,kadhai paneer
1057,kadhai paneer
1058,kadhai paneer
1059,kaju katli
1060,kaju katli
1061,kaju katli
1062,karela sabzi
1063,bharwan karela
1064,bharwa karela
1065,kesari bath
1066,orange pudding cake
1067,khakhra
1068,methi khakhra
1069,bajra khakhra
1070,kolhapuri usal
1071,misal pav
1072,kolhapuri usal
1073,kulcha
1074,kulcha
1075,kulcha
1076,lamb biriyani
1077,lamb biriyani
1078,lamb biriyani
1079,lamb burger
1080,lamb burger
1081,spiced lamb pita burgers
1082,lemon cheesecake
1083,lemon cheesecake
1084,lemon cheesecake
1085,makki ki roti
1086,makki ki roti
1087,makki di roti
1088,manchow soup
1089,chicken manchow soup
1090,vegetable manchow soup
1091,mango pickle
1092,mango pickle
1093,mango pickle
1094,paneer masala dosa
1095,paneer masala dosa
1096,masala dosa with red chutney
1097,masala papad
1098,masala papad
1099,masala papad
1100,masala puri
1101,methi moong masala puri
1102,chicken tikka masala
1103,matar paneer
1104,matar paneer
1105,matar paneer
1106,methi malai matar
1107,methi matar malai
1108,methi matar malai
1109,methi paratha
1110,methi paratha
1111,methi and palak paratha
1112,mexican burgers
1113,mexican avocado burgers
1114,mexican burgers
1115,mexican rice
1116,mexican rice
1117,mexican rice
1118,mixed vegetable curry
1119,paneer jalfrezi
1120,stuffed vegetable kulcha
1121,makki mooli methi paratha
1122,mooli ka paratha
1123,mooli ka paratha
1124,motichoor ladoo
1125,motichoor ladoo
1126,motichoor ladoo
1127,mozzarella sticks
1128,mozzarella sticks
1129,mozzarella sticks
1130,portobello mushroom burger
1131,mushroom burgers
1132,"mushroom, onion & swiss burger"
1133,chilli mushroom
1134,skillet chili mac with cheese
1135,mushroom and black bean chilli
1136,mushroom arugula pizza
1137,caramelized mushrooms arugula pizza
1138,portobello mushroom pizzas
1139,mutton biriyani
1140,mutton biriyani
1141,mutton biriyani
1142,mutton liver masala
1143,loaded nachos
1144,lentil nachos
1145,lentil nachos
1146,neer dosa
1147,neer dosa
1148,neer dosa
1149,oats
1150,oats
1151,oats
1152,gyeran mari
1153,omelette
1154,omelette
1155,onion parathas
1156,onion paratha
1157,aloo paratha
1158,orange juice
1159,orange juice
1160,orange juice
1161,cheesy palak paneer paratha
1162,palak paratha
1163,palak paratha
1164,pancake
1165,pancake
1166,pancake
1167,paneer bhurji
1168,paneer bhurji
1169,paneer bhurji
1170,paneer curry noodles
1171,singapore style noodles with paneer
1172,chilli paneer with soba noodles
1173,paneer paratha
1174,paneer paratha
1175,paneer paratha
1176,puri
1177,pani puri
1178,pani puri
1179,paniyaram
1180,masala paniyaram
1181,kuzhi paniyaram
1182,masala papad
1183,masala papad
1184,masala papad
1185,pav bhaji
1186,jain pav bhaji
1187,pav bhaji
1188,broccoli pesto pasta
1189,arugula pesto pasta
1190,creamy pesto pasta
1191,pesto zucchini spaghetti
1192,spaghetti with pesto
1193,pesto spaghetti
1194,pizza
1195,pizza
1196,meatball pizza
1197,poha
1198,poha
1199,poha
1200,poori
1201,poori
1202,poori
1203,popcorn
1204,spiced popcorn
1205,popcorn
1206,lasagna
1207,lasagna roll ups
1208,lasagna
1209,pork tacos
1210,pulled pork tacos
1211,bbq pulled pork tacos
1212,mashed potatoes
1213,sweet potatoes
1214,rice and potatoes
1215,potato wedges
1216,potato wedges
1217,potato wedges
1218,prawn biriyani
1219,prawn biriyani
1220,prawn biriyani
1221,spicy prawn soup
1222,prawn laksa soup
1223,vietnamese prawn soup
1224,"chocolate, banana & peanut butter protein shake"
1225,coffee protein shake
1226,strawberry protein shake
1227,garlic pudina paratha
1228,pudina paratha
1229,pudina lachha paratha
1230,puran poli
1231,puran poli
1232,puran poli
1233,ragi balls
1234,ragi balls
1235,nachani bhakari
1236,ragi dosa
1237,ragi dosa
1238,ragi dosa
1239,ragi roti
1240,ragi roti
1241,ragi roti
1242,rajma chawal
1243,rajma chawal
1244,rajma chawal
1245,rasgulas
1246,rasgulas
1247,rava dosa
1248,rava dosa
1249,rava dosa
1250,rava idli
1251,rava idli
1252,rava idli
1253,nettle ravioli
1254,toasted ravioli
1255,fried ravioli
1256,red sauce pasta
1257,red brie pasta sauce
1258,red sauce pasta
1259,red velvet cake
1260,red velvet cake
1261,red velvet cake
1262,steamed rice
1263,steamed rice
1264,persian steamed white rice
1265,rumali roti
1266,rumali roti
1267,spicy mutton gravy
1268,kheer
1269,set dosa
1270,set dosa
1271,masala dosa
1272,sev puri and papdi chat
1273,peanut butter cookies
1274,pork tenderloin with apple jicama slaw
1275,spinach sandwich
1276,"tomato, hummus, and spinach sandwich"
1277,cheesy ham and spinach sandwiches
1278,brussels sprouts salad
1279,brussels sprouts salad
1280,brussels sprouts salad
1281,vegetable stir-fry
1282,vegetable stir-fry
1283,vegetable stir-fry
1284,strawberry milkshake
1285,strawberry milkshake
1286,strawberry milkshake
1287,stuffed mushrooms
1288,stuffed mushrooms
1289,sausage stuffed mushrooms
1290,sugarcane juice
1291,sugarcane pongal
1292,sugarcane shrimp
1293,sushi
1294,sushi
1295,sushi
1296,tandoori roti
1297,tandoori roti
1298,tandoori roti
1299,tawa pulao
1300,tawa pulao
1301,tawa pulao
1302,thepla
1303,thepla
1304,methi thepla
1305,tiramisu
1306,tiramisu
1307,tiramisu
1308,tuna sandwiches
1309,tuna sandwich
1310,tuna sandwich
1311,sooji upma
1312,upma
1313,vegetable upma
1314,pesarattu
1315,medu vada
1316,medhu vada
1317,vada pav
1318,vada pav
1319,vada pav
1320,vada pav
1321,vangi bath
1322,vangi bath
1323,vangi bath
1324,veg cheese burger
1325,bourbon burger
1326,juicy steakhouse burgers
1327,black bean and guac burritos
1328,shredded chicken burritos
1329,cheeseburger burritos
1330,crock pot chicken fajitas
1331,chicken fajitas
1332,chicken fajitas
1333,fried rice
1334,veg fried rice
1335,fried rice
1336,lasagna
1337,lasagna
1338,lasagna stuffed meatloaf
1339,veg manchurian
1340,veg manchurian
1341,veg manchurian
1342,veg momos
1343,veg momos
1344,veg momos
1345,spicy veg noodles
1346,veg hakka noodles
1347,veg hakka noodles
1348,veg puff
1349,veg puff
1350,veg puff
1351,chicken quesadilla
1352,chicken quesadillas
1353,chicken quesadillas
1354,grilled chicken sandwich with avocado and tomato
1355,chicken salad sandwiches
1356,cheese steak sandwiches
1357,pork schnitzel
1358,pork schnitzel
1359,pork schnitzel
1360,veg spring roll
1361,veg spring roll
1362,veg spring roll
1363,vegetable stew
1364,spicy ethiopian lentil stew
1365,crockpot beef stew
1366,shredded chicken tacos
1367,tacos with roasted pineapple salsa
1368,spicy chicken tacos
1369,hummus wraps
1370,chicken caesar salad wraps
