dishId,tags
165,biryani|cardamom|chicken|clove|curry|dessert|garlic|ghee|ginger|onion|rice|salt|yogurt|northindian
166,chicken|coriander|cumin|garlic|ginger|masala|onion|salt|sugar|tomato|yogurt|northindian|punjab
167,cheese|clove|condiment|garlic|jalapeno|juice|lime|oil|olive|oliveoil|parmesan|pesto|pinenut|toast|italian
168,coriander|cumin|curry|ginger|masala|mustard|turmeric
169,chicken|chili|curry|dessert|garlic|ginger|masala|oil|onion|poppy|salt|turmeric
170,bayleaf|cardamom|cinnamon|clove|curry|dessert|garlic|ginger|kidneybean|oil|onion|pepper|salt|tomato
171,chili|clove|flour|garlic|ginger|juice|lamb|lemon|masala|oil|onion|salt|samosa|snack|turmeric|northindian
172,chicken|chilli|clove|cumin|curry|garlic|ghee|ginger|masala|oil|onion|salt|tomato|turmeric
173,buttermilk|cardamom|chicken|cinnamon|clove|coriander|cumin|curry|garlic|oil|onion|parsley|salt|tomato|northindian|uttarpradesh
174,chapati|flour|oil|olive|oliveoil|salt|wheat
175,asafoetida|cauliflower|cumin|ginger|mustard|oil|potato|salt|sugar|tomato|turmeric|northindian|punjab
176,almond|beverage|cardamom|coconut|milk|sweetdish
177,chickpea|cumin|curry|flour|masala|oil|okra|olive|oliveoil|salt|northindian
178,asafoetida|chili|chutney|cumin|fennel|ginger|masala|oil|sugar|tamarind|westindian|maharashtra
179,almond|bean|chickpea|clove|cumin|curry|garlic|ginger|masala|oil|olive|oliveoil|onion|raisin|salt|toast|american
180,curry|garlic|masala|oil|pork|salt
181,beverage|clove|coconut|curry|garlic|ginger|mango|masala|milk|oil|salt|sesame|tofu
182,beverage|cardamom|cinnamon|clove|ginger|milk|pepper|tea
183,beverage|juice|lassi|mango|milk|yogurt|northindian|punjab
184,cumin|ginger|juice|oil|pineapple|salt|soup|tomato
185,bayleaf|cinnamon|clove|cumin|oil|onion|pepper|rice|salt|sugar|northindian|punjab
186,clove|garlic|lentil|masala|oil|olive|oliveoil|onion|potato|salt|soup|spinach|sweetpotato|turmeric
187,bayleaf|cardamom|chicken|chili|cinnamon|clove|coriander|curry|dessert|garlic|ghee|ginger|oil|olive|oliveoil|onion|salt|sugar|tomato|turmeric
188,bayleaf|cinnamon|onion|rice|salt
189,chicken|chili|cream|curry|flour|ginger|masala|onion|salt
190,cauliflower|chili|clove|coriander|cumin|curry|dessert|garlic|ginger|oil|onion|salt|spinach|tomato|turmeric|westindian|maharashtra
191,carrot|juice|lemon|peanut|salad|salt|sugar
192,beverage|chili|clove|coconut|coriander|cumin|dessert|eggplant|fennel|fenugreek|garlic|ginger|milk|oil|onion|salt|sesame|tomato|turmeric
193,barbeque|chicken|chili|clove|coriander|cumin|dessert|garlic|juice|lemon|salt|turmeric|yogurt
194,bellpepper|cardamom|clove|coriander|cumin|garlic|ginger|lentil|nutmeg|oil|onion|peas|potato|raisin|rice|salt
195,cumin|oil|rice|salt
196,cardamom|cashew|raisin|rice|salt
197,apple|bellpepper|chutney|curry|dessert|ginger|mango|masala|oil|onion|pineapple|sugar|vinegar
198,chicken|clove|garlic|giblet|lime|masala
199,beef|curry|garlic|ginger|oil|onion|salt|tomato|vinegar|yogurt|westindian|goa
200,bayleaf|beverage|chicken|chili|cinnamon|clove|coriander|curry|dessert|garlic|ginger|masala|milk|oil|onion|spinach|tomato|turmeric|yogurt|northindian|punjab
201,cheese|chili|cinnamon|clove|coriander|garlic|juice|lemon|lentil|masala|onion|salt|soup|tomato|turmeric
202,bean|beverage|coconut|curry|masala|milk|rice|tofu|northindian
203,beverage|cardamom|carrot|cashew|milk|raisin|sugar
204,cauliflower|cumin|mustard|oil|peas|salt
205,biryani|chili|clove|cumin|masala|oil|onion|rice|salt|northindian
206,cardamom|cinnamon|clove|cumin|dessert|garlic|ginger|onion|rice|saffron|salt|turmeric|yogurt|northindian
207,chicken|chili|clove|coriander|cumin|curry|dessert|garlic|ginger|juice|lemon|masala|oil|olive|oliveoil|onion|potato|salt|tomato|turmeric|yogurt
208,bayleaf|beverage|cardamom|chicken|chili|cinnamon|clove|coriander|cumin|curry|dessert|garlic|ginger|oil|olive|oliveoil|onion|potato|salt|tomato|turmeric|vinegar|wine|westindian|goa
209,chili|curry|eggplant|oil|onion|salt|tomato|northindian|punjab
210,cardamom|clove|coriander|cumin|fennel|masala|mustard|pepper|turmeric|northindian
211,cabbage|carrot|cauliflower|garlic|ginger|juice|lemon|oil|onion|pav|pavbhaji|peas|potato|salt|tomato|westindian|maharashtra
212,beverage|chili|cinnamon|coconut|coriander|cumin|curry|ginger|milk|oil|onion|peas|salt|tomato|turmeric
213,chicken|chili|cream|curry|dessert|masala|mushroom|onion|salt|soup
214,chana|chickpea|chili|clove|coriander|cumin|curry|garlic|ginger|juice|lemon|masala|oil|olive|oliveoil|onion|salt|tomato|turmeric|yogurt|northindian|punjab
215,beverage|curry|masala|milk|oil|onion|potato|samosa|sesame|snack|soup|sweetpotato|wonton
216,beverage|juice|lemon|milk|paneer|salt|sugar|yogurt|northindian
217,beverage|cabbage|carrot|clove|coconut|curry|garlic|masala|milk|oil|olive|oliveoil|onion|salt|tomato
218,bellpepper|chicken|cinnamon|clove|coriander|cream|curry|garlic|ginger|masala|nutmeg|onion|salt|tomato|yogurt|northindian|delhi
219,peanut|rice|salt|turmeric|southindian|tamilnadu
220,apple|buttermilk|cauliflower|chicken|chutney|curry|flour|masala|oil|olive|oliveoil|onion|pork|rice|salt|northindian
